Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00127650766293533,0.0641943893077423,0.0010310165875109,0,0,0,1.57215917646495,0.0029968373869179,4.15418943318617E-05,9.94053013969804E-06,0.00096182728247793,-5.18648676448687E-05,0.00356193468075766,0,0,0,0,0,0,package://zbr/meshes/base_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://zbr/meshes/base_link.STL,,手掌-RN-1,坐标系12,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0131848603914057,-0.00810734516453436,0.00908243900647357,0,0,0,0.0785667557320276,6.3323980896117E-06,2.26663046359801E-07,-1.4948668135821E-06,7.22551411017129E-06,1.62515659838265E-07,7.04900998297585E-06,0,0,0,0,0,0,package://zbr/meshes/Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://zbr/meshes/Link1.STL,,拇指装配-1/拇指第三指节-1,坐标系1,基准轴1,J1,revolute,0.027532,0.067569,0.010096,0,0,0.087266,base_link,0,-1,0,0,0,-0.785,0,,,,,,,,
Link2,0.00678433841159329,0.019449142259625,0.0157004523505419,0,0,0,0.0497331228316575,1.28108787798883E-05,-9.84030798773093E-12,-4.08877331290406E-09,7.93265233713799E-06,-3.97471742494961E-06,9.86763057684967E-06,0,0,0,0,0,0,package://zbr/meshes/Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://zbr/meshes/Link2.STL,,拇指装配-1/拇指第二指节-3,坐标系2,基准轴2,J2,revolute,0.019314,-0.0032004,0.021933,0.070945,0.94803,0,Link1,-1,0,0,0,0,0,0.29,,,,,,,,
Link3,-0.0025506,0.0054132,-0.013778,0,0,0,0.040995,3.3968E-06,1.2415E-08,-1.6638E-08,3.1771E-06,7.2527E-07,2.4866E-06,0,0,0,0,0,0,package://zbr/meshes/Link3.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbr/meshes/Link3.STL,,拇指装配-1/拇指第一指节-1,坐标系3,基准轴3,J3,revolute,0.00425,0.041056,0.030193,-3.1416,0,3.1416,Link2,1,0,0,0,0,0,0.44,,,,,,,,
Link4,-0.0052876,0.014981,0.0014109,0,0,0,0.018019,1.7441E-06,5.1013E-10,2.3881E-10,1.188E-06,-2.221E-08,1.8872E-06,0,0,0,0,0,0,package://zbr/meshes/Link4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbr/meshes/Link4.STL,,手指装配-4/手指第三指节0-1,坐标系4,基准轴4,J4,revolute,0.035906,0.13648,0.0012043,0,0,0,base_link,-1,0,0,0,0,0,1.24,,,,,,,,
Link5,-9.80448401820405E-05,0.0289657273805568,0.0087607744176971,0,0,0,0.0408506177121963,3.07171189370826E-06,-1.47544826229371E-08,-5.43212855369639E-09,9.40853787623252E-07,-2.53638965013084E-07,3.11857813493904E-06,0,0,0,0,0,0,package://zbr/meshes/Link5.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://zbr/meshes/Link5.STL,,手指装配-4/手指第二指节0-1;手指装配-4/手指第一指节-1,坐标系5,基准轴5,J5,revolute,-0.0052898,0.030432,-0.0022808,0,0,0,Link4,-1,0,0,0,0,-1.57,0,,,,,,,,
Link6,-0.0051227334344105,0.0140307595000572,-0.00034893056462626,0,0,0,0.0180187412780233,1.74407034121014E-06,5.10128859149601E-10,2.38810657505067E-10,1.18798952744404E-06,-2.22103339969448E-08,1.8872150686318E-06,0,0,0,0,0,0,package://zbr/meshes/Link6.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://zbr/meshes/Link6.STL,,手指装配-3/手指第三指节0-1,坐标系6,基准轴6,J6,revolute,0.013741,0.14059,0.0029642,0,0,0,base_link,-1,0,0,0,0,0,1.24,,,,,,,,
Link7,-9.80448728662917E-05,0.0289657264836833,0.00876077432076167,0,0,0,0.0408506160930055,3.07171168123506E-06,-1.47544651104182E-08,-5.43212699385904E-09,9.40853783897035E-07,-2.53638950401181E-07,3.11857792133932E-06,0,0,0,0,0,0,package://zbr/meshes/Link7.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://zbr/meshes/Link7.STL,,手指装配-3/手指第二指节0-1;手指装配-3/手指第一指节-1,坐标系7,基准轴7,J7,revolute,-0.005125,0.029482,-0.0040407,0,0,0,Link6,-1,0,0,0,0,-1.57,0,,,,,,,,
Link8,-0.0052876,0.014981,0.0014109,0,0,0,0.018019,1.7441E-06,5.1013E-10,2.3881E-10,1.188E-06,-2.221E-08,1.8872E-06,0,0,0,0,0,0,package://zbr/meshes/Link8.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbr/meshes/Link8.STL,,手指装配-2/手指第三指节0-1,坐标系8,基准轴8,J8,revolute,-0.008094,0.13648,0.0012,0,0,0,base_link,-1,0,0,0,0,0,1.24,,,,,,,,
Link9,-9.8045E-05,0.028966,0.0087608,0,0,0,0.040851,3.0717E-06,-1.4754E-08,-5.4321E-09,9.4085E-07,-2.5364E-07,3.1186E-06,0,0,0,0,0,0,package://zbr/meshes/Link9.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbr/meshes/Link9.STL,,手指装配-2/手指第二指节0-1;手指装配-2/手指第一指节-1,坐标系9,基准轴9,J9,revolute,-0.0052898,0.030432,-0.0022808,0,0,0,Link8,-1,0,0,0,0,-1.57,0,,,,,,,,
